src,dst,probability
8,47,0.010638297872340425
8,1852,0.0026246719160104987
8,188,0.0026666666666666666
8,52,0.004048582995951417
8,439,0.005208333333333333
8,17240,0.015151515151515152
8,211,0.0024937655860349127
8,88,0.001451378809869376
8,308,0.00423728813559322
8,674,0.009900990099009901
8,22714,0.014705882352941176
8,7283,0.047619047619047616
8,502,0.0033333333333333335
8,9682,0.0625
8,5247,0.0196078431372549
8,69,0.014925373134328358
8,354,0.005747126436781609
8,355,0.014705882352941176
8,555,0.012195121951219513
8,565,0.01694915254237288
8,327,0.001557632398753894
8,3647,0.011363636363636364
10,2,0.0045871559633027525
10,26,0.0028011204481792717
10,134,0.005208333333333333
10,984,0.013333333333333334
10,27,0.0028089887640449437
10,3,0.07142857142857142
10,709,0.058823529411764705
10,987,0.0038910505836575876
10,360,0.012658227848101266
10,290,0.005376344086021506
10,31,0.007352941176470588
10,602,0.014705882352941176
10,989,0.015873015873015872
10,623,0.0125
10,333,0.00980392156862745
10,1918,0.05263157894736842
10,4,0.002145922746781116
10,992,0.01098901098901099
10,32,0.003067484662576687
10,175,0.01282051282051282
10,994,0.00558659217877095
10,995,0.007042253521126761
10,996,0.009523809523809525
10,998,0.004
10,34,0.003952569169960474
10,291,0.0037735849056603774
10,721,0.005494505494505495
10,7377,0.045454545454545456
10,1321,0.007518796992481203
10,368,0.023255813953488372
10,2055,0.002857142857142857
10,1443,0.008403361344537815
10,369,0.002840909090909091
10,1928,0.029411764705882353
10,206,0.0010121457489878543
10,6,0.0015060240963855422
10,372,0.016129032258064516
10,373,0.004291845493562232
10,374,0.008928571428571428
10,39,0.00392156862745098
10,6095,0.041666666666666664
10,143,0.01282051282051282
10,4820,0.013888888888888888
10,376,0.005405405405405406
10,10783,0.045454545454545456
10,378,0.004608294930875576
10,21578,0.05263157894736842
10,1759,0.00641025641025641
10,8,0.0012547051442910915
10,381,0.010752688172043012
10,24644,0.07692307692307693
10,383,0.00130718954248366
10,1337,0.047619047619047616
10,1040,0.021739130434782608
10,1458,0.017543859649122806
10,2670,0.002325581395348837
10,1459,0.009259259259259259
10,1338,0.045454545454545456
10,42,0.003816793893129771
10,1042,0.0070921985815602835
10,739,0.02
10,5082,0.015873015873015872
10,146,0.0051813471502590676
10,147,0.007692307692307693
10,393,0.007575757575757576
10,1247,0.0030959752321981426
10,6224,0.07142857142857142
10,43,0.002398081534772182
10,44,0.003076923076923077
10,1062,0.0009794319294809011
10,301,0.0010741138560687433
10,1348,0.0196078431372549
10,402,0.005649717514124294
10,186,0.008
10,403,0.0036101083032490976
10,698,0.021739130434782608
10,889,0.020833333333333332
10,7942,0.004201680672268907
10,1355,0.021739130434782608
10,1357,0.005
10,1084,0.029411764705882353
10,418,0.004807692307692308
10,1474,0.03125
10,750,0.002369668246445498
10,1093,0.014492753623188406
10,759,0.003472222222222222
10,188,0.0026666666666666666
10,253,0.004347826086956522
10,431,0.003875968992248062
10,434,0.005405405405405406
10,2187,0.01282051282051282
10,768,0.00847457627118644
10,211,0.0024937655860349127
10,5103,0.011494252873563218
10,213,0.0017793594306049821
10,1276,0.0021645021645021645
10,4628,0.02564102564102564
10,459,0.0018656716417910447
10,306,0.006172839506172839
10,1774,0.0136986301369863
10,59,0.0019569471624266144
10,11108,0.07692307692307693
10,89,0.006060606060606061
10,1971,0.0023752969121140144
10,476,0.03125
10,5013,0.03225806451612903
10,63,0.004219409282700422
10,16934,0.041666666666666664
10,7481,0.05
10,5253,0.02040816326530612
10,1988,0.0013605442176870747
10,17,0.038461538461538464
